Filename:,burp02,,Events:,['player.burp01']
Full Path:,sound/vo/burp02.mp3,,Scenes:,['scenes/player/demoman/low/taunt03_v1.vcd']
Transcription:,different,,Responses:,['DemomanTauntMelee']
Your Line:,,,Rules:,['DemomanTauntPlayerMelee']
,,,Criteria:,"[['ConceptPlayerTaunt', 'IsDemoman', 'WeaponIsBottle', 'AppliesContext:NotSober:1:10']]"

Filename:,burp03,,Events:,['player.burp02']
Full Path:,sound/vo/burp03.mp3,,Scenes:,[]
Transcription:,,,Responses:,[]
Your Line:,,,Rules:,[]
,,,Criteria:,[]

Filename:,burp04,,Events:,['player.burp03']
Full Path:,sound/vo/burp04.mp3,,Scenes:,"['scenes/player/demoman/low/taunt03_v2.vcd', 'scenes/workshop/player/demoman/low/taunt_the_pooped_deck_a1.vcd']"
Transcription:,three,,Responses:,"['DemomanTauntMelee', 'Taunt: The Pooped Deck']"
Your Line:,,,Rules:,['DemomanTauntPlayerMelee']
,,,Criteria:,"[['ConceptPlayerTaunt', 'IsDemoman', 'WeaponIsBottle', 'AppliesContext:NotSober:1:10']]"

Filename:,burp05,,Events:,['player.burp04']
Full Path:,sound/vo/burp05.mp3,,Scenes:,[]
Transcription:,,,Responses:,[]
Your Line:,,,Rules:,[]
,,,Criteria:,[]

Filename:,burp06,,Events:,['player.burp05']
Full Path:,sound/vo/burp06.mp3,,Scenes:,['scenes/player/demoman/low/taunt03_v3.vcd']
Transcription:,ways,,Responses:,['DemomanTauntMelee']
Your Line:,,,Rules:,['DemomanTauntPlayerMelee']
,,,Criteria:,"[['ConceptPlayerTaunt', 'IsDemoman', 'WeaponIsBottle', 'AppliesContext:NotSober:1:10']]"

Filename:,burp07,,Events:,['player.burp06']
Full Path:,sound/vo/burp07.mp3,,Scenes:,[]
Transcription:,,,Responses:,[]
Your Line:,,,Rules:,[]
,,,Criteria:,[]

Filename:,demoman_activatecharge01,,Events:,['demoman.activatecharge01']
Full Path:,sound/vo/demoman_activatecharge01.mp3,,Scenes:,['scenes/player/demoman/low/860.vcd']
Transcription:,"Hit it, doc!",,Responses:,['PlayerActivateChargeDemoman']
Your Line:,,,Rules:,['PlayerActivateChargeDemoman']
,,,Criteria:,"[['ConceptPlayerActivateCharge', 'IsDemoman']]"

Filename:,demoman_activatecharge02,,Events:,['demoman.activatecharge02']
Full Path:,sound/vo/demoman_activatecharge02.mp3,,Scenes:,['scenes/player/demoman/low/861.vcd']
Transcription:,"Charge it, doc!",,Responses:,['PlayerActivateChargeDemoman']
Your Line:,,,Rules:,['PlayerActivateChargeDemoman']
,,,Criteria:,"[['ConceptPlayerActivateCharge', 'IsDemoman']]"

Filename:,demoman_activatecharge03,,Events:,['demoman.activatecharge03']
Full Path:,sound/vo/demoman_activatecharge03.mp3,,Scenes:,['scenes/player/demoman/low/862.vcd']
Transcription:,"Go on then, doc!",,Responses:,['PlayerActivateChargeDemoman']
Your Line:,,,Rules:,['PlayerActivateChargeDemoman']
,,,Criteria:,"[['ConceptPlayerActivateCharge', 'IsDemoman']]"

Filename:,demoman_autocappedcontrolpoint01,,Events:,['demoman.autocappedcontrolpoint01']
Full Path:,sound/vo/demoman_autocappedcontrolpoint01.mp3,,Scenes:,['scenes/player/demoman/low/863.vcd']
Transcription:,"Keep it up, lads!",,Responses:,['PlayerCapturedPointDemoman']
Your Line:,,,Rules:,['PlayerCapturedPointDemoman']
,,,Criteria:,"[['ConceptPlayerCapturedPoint', 'IsDemoman']]"

Filename:,demoman_autocappedcontrolpoint02,,Events:,"['demo_taunt_flag', 'demoman.autocappedcontrolpoint02']"
Full Path:,sound/vo/demoman_autocappedcontrolpoint02.mp3,,Scenes:,"['scenes/player/demoman/low/865.vcd', 'scenes/workshop/player/demoman/low/taunt_flying_colors.vcd']"
Transcription:,"Guts and glory, lads!",,Responses:,"['AwardDemoman', 'PlayerCapturedPointDemoman', 'Taunt: Flying Colors']"
Your Line:,,,Rules:,"['AwardDemoman', 'PlayerCapturedPointDemoman']"
,,,Criteria:,"[['ConceptAchievementAward', 'IsDemoman', 'DemomanNotAwardSpeech', 'AppliesContext:DemomanAwardSpeech:1:10', 'AppliesContext:IsDominating:1:10'], ['ConceptPlayerCapturedPoint', 'IsDemoman']]"

Filename:,demoman_autocappedcontrolpoint03,,Events:,"['demo_taunt_flag', 'demoman.autocappedcontrolpoint03']"
Full Path:,sound/vo/demoman_autocappedcontrolpoint03.mp3,,Scenes:,"['scenes/player/demoman/low/864.vcd', 'scenes/workshop/player/demoman/low/taunt_flying_colors.vcd']"
Transcription:,"Now it's our flippin' point, hehah!",,Responses:,"['PlayerCapturedPointDemoman', 'Taunt: Flying Colors']"
Your Line:,,,Rules:,['PlayerCapturedPointDemoman']
,,,Criteria:,"[['ConceptPlayerCapturedPoint', 'IsDemoman']]"

Filename:,demoman_autocappedintelligence01,,Events:,['demoman.autocappedintelligence01']
Full Path:,sound/vo/demoman_autocappedintelligence01.mp3,,Scenes:,['scenes/player/demoman/low/866.vcd']
Transcription:,"Aye, that's the way ye do it! Hehah!",,Responses:,"['AwardDemoman', 'PlayerCappedIntelligenceDemoman']"
Your Line:,,,Rules:,"['AwardDemoman', 'PlayerCappedIntelligenceDemoman']"
,,,Criteria:,"[['ConceptAchievementAward', 'IsDemoman', 'DemomanNotAwardSpeech', 'AppliesContext:DemomanAwardSpeech:1:10', 'AppliesContext:IsDominating:1:10'], ['ConceptPlayerCapturedIntelligence', 'IsDemoman']]"

Filename:,demoman_autocappedintelligence02,,Events:,['demoman.autocappedintelligence02']
