Filename:,engineer_activatecharge01,,Events:,['engineer.activatecharge01']
Full Path:,vo/engineer_activatecharge01.mp3,,Scenes:,['scenes/player/engineer/low/1.vcd']
Transcription:,"Hit it, Doc!",,Responses:,['PlayerActivateChargeEngineer']
Your Line:,,,Rules:,['PlayerActivateChargeEngineer']
,,,Criteria:,"[['ConceptPlayerActivateCharge', 'IsEngineer']]"

Filename:,engineer_activatecharge02,,Events:,['engineer.activatecharge02']
Full Path:,vo/engineer_activatecharge02.mp3,,Scenes:,['scenes/player/engineer/low/2.vcd']
Transcription:,"Come on, hit it, Doc!",,Responses:,['PlayerActivateChargeEngineer']
Your Line:,,,Rules:,['PlayerActivateChargeEngineer']
,,,Criteria:,"[['ConceptPlayerActivateCharge', 'IsEngineer']]"

Filename:,engineer_activatecharge03,,Events:,['engineer.activatecharge03']
Full Path:,vo/engineer_activatecharge03.mp3,,Scenes:,['scenes/player/engineer/low/3.vcd']
Transcription:,"Charge me, Doc!",,Responses:,['PlayerActivateChargeEngineer']
Your Line:,,,Rules:,['PlayerActivateChargeEngineer']
,,,Criteria:,"[['ConceptPlayerActivateCharge', 'IsEngineer']]"

Filename:,engineer_autoattackedbyspy01,,Events:,['engineer.autoattackedbyspy01']
Full Path:,vo/engineer_autoattackedbyspy01.mp3,,Scenes:,['scenes/player/engineer/low/6.vcd']
Transcription:,Spy's sappin' my Teleporter!,,Responses:,['PlayerTeleporterSappedEngineer']
Your Line:,,,Rules:,['PlayerTeleporterSappedEngineer']
,,,Criteria:,"[['ConceptSpySapping', 'IsEngineer', 'IsTeleporter']]"

Filename:,engineer_autoattackedbyspy02,,Events:,['engineer.autoattackedbyspy02']
Full Path:,vo/engineer_autoattackedbyspy02.mp3,,Scenes:,['scenes/player/engineer/low/5.vcd']
Transcription:,Spy's sappin' my Dispenser!,,Responses:,['PlayerDispenserSappedEngineer']
Your Line:,,,Rules:,['PlayerDispenserSappedEngineer']
,,,Criteria:,"[['ConceptSpySapping', 'IsEngineer', 'IsDispenser']]"

Filename:,engineer_autoattackedbyspy03,,Events:,['engineer.autoattackedbyspy03']
Full Path:,vo/engineer_autoattackedbyspy03.mp3,,Scenes:,['scenes/player/engineer/low/4.vcd']
Transcription:,Spy's sappin' my Sentry!,,Responses:,['PlayerSentrySappedEngineer']
Your Line:,,,Rules:,['PlayerSentrySappedEngineer']
,,,Criteria:,"[['ConceptSpySapping', 'IsEngineer', 'IsSentryGun']]"

Filename:,engineer_autobuildingdispenser01,,Events:,['engineer.autobuildingdispenser01']
Full Path:,vo/engineer_autobuildingdispenser01.mp3,,Scenes:,['scenes/player/engineer/low/8.vcd']
Transcription:,Erectin' a Dispenser.,,Responses:,['PlayerBuildingDispenserEngineer']
Your Line:,,,Rules:,['PlayerBuildingDispenserEngineer']
,,,Criteria:,"[['ConceptPlayerBuildingObject', 'IsDispenser', 'IsEngineer']]"

