Filename:,heavy_activatecharge01,,Events:,['heavy.activatecharge01']
Full Path:,vo/heavy_activatecharge01.mp3,,Scenes:,['scenes/player/heavy/low/190.vcd']
Transcription:,"Charge now, Doctor!",,Responses:,['PlayerActivateChargeHeavy']
Your Line:,,,Rules:,['PlayerActivateChargeHeavy']
,,,Criteria:,"[['ConceptPlayerActivateCharge', 'IsHeavy']]"

Filename:,heavy_activatecharge02,,Events:,['heavy.activatecharge02']
Full Path:,vo/heavy_activatecharge02.mp3,,Scenes:,['scenes/player/heavy/low/191.vcd']
Transcription:,Hit charge!,,Responses:,['PlayerActivateChargeHeavy']
Your Line:,,,Rules:,['PlayerActivateChargeHeavy']
,,,Criteria:,"[['ConceptPlayerActivateCharge', 'IsHeavy']]"

Filename:,heavy_activatecharge03,,Events:,['heavy.activatecharge03']
Full Path:,vo/heavy_activatecharge03.mp3,,Scenes:,['scenes/player/heavy/low/192.vcd']
Transcription:,Charge me!,,Responses:,['PlayerActivateChargeHeavy']
Your Line:,,,Rules:,['PlayerActivateChargeHeavy']
,,,Criteria:,"[['ConceptPlayerActivateCharge', 'IsHeavy']]"

Filename:,heavy_activatecharge04,,Events:,['heavy.activatecharge04']
Full Path:,vo/heavy_activatecharge04.mp3,,Scenes:,['scenes/player/heavy/low/1261.vcd']
Transcription:,"Now, Doctor!",,Responses:,['PlayerActivateChargeHeavy']
Your Line:,,,Rules:,['PlayerActivateChargeHeavy']
,,,Criteria:,"[['ConceptPlayerActivateCharge', 'IsHeavy']]"

Filename:,heavy_autocappedcontrolpoint01,,Events:,['heavy.autocappedcontrolpoint01']
Full Path:,vo/heavy_autocappedcontrolpoint01.mp3,,Scenes:,['scenes/player/heavy/low/193.vcd']
Transcription:,"Come, knock me off it!",,Responses:,['PlayerCapturedPointHeavy']
Your Line:,,,Rules:,['PlayerCapturedPointHeavy']
,,,Criteria:,"[['ConceptPlayerCapturedPoint', 'IsHeavy']]"

Filename:,heavy_autocappedcontrolpoint02,,Events:,['heavy.autocappedcontrolpoint02']
Full Path:,vo/heavy_autocappedcontrolpoint02.mp3,,Scenes:,['scenes/player/heavy/low/194.vcd']
Transcription:,Ours now!,,Responses:,['PlayerCapturedPointHeavy']
Your Line:,,,Rules:,['PlayerCapturedPointHeavy']
,,,Criteria:,"[['ConceptPlayerCapturedPoint', 'IsHeavy']]"

Filename:,heavy_autocappedcontrolpoint03,,Events:,"['heavy.autocappedcontrolpoint03', 'heavy_taunt_flag']"
Full Path:,vo/heavy_autocappedcontrolpoint03.mp3,,Scenes:,"['scenes/workshop/player/heavy/low/taunt_flying_colors.vcd', 'scenes/player/heavy/low/195.vcd']"
Transcription:,"Come, take it back!",,Responses:,"['PlayerCapturedPointHeavy', 'Taunt: Flying Colors']"
Your Line:,,,Rules:,['PlayerCapturedPointHeavy']
,,,Criteria:,"[['ConceptPlayerCapturedPoint', 'IsHeavy']]"

Filename:,heavy_autocappedintelligence01,,Events:,['heavy.autocappedintelligence01']
Full Path:,vo/heavy_autocappedintelligence01.mp3,,Scenes:,['scenes/player/heavy/low/196.vcd']
Transcription:,It was long trip!,,Responses:,['PlayerCappedIntelligenceHeavy']
Your Line:,,,Rules:,['PlayerCappedIntelligenceHeavy']
,,,Criteria:,"[['ConceptPlayerCapturedIntelligence', 'IsHeavy']]"

Filename:,heavy_autocappedintelligence02,,Events:,['heavy.autocappedintelligence02']
Full Path:,vo/heavy_autocappedintelligence02.mp3,,Scenes:,['scenes/player/heavy/low/197.vcd']
Transcription:,I killed many cowards for that.,,Responses:,['PlayerCappedIntelligenceHeavy']
Your Line:,,,Rules:,['PlayerCappedIntelligenceHeavy']
,,,Criteria:,"[['ConceptPlayerCapturedIntelligence', 'IsHeavy']]"

Filename:,heavy_autocappedintelligence03,,Events:,['heavy.autocappedintelligence03']
Full Path:,vo/heavy_autocappedintelligence03.mp3,,Scenes:,['scenes/player/heavy/low/198.vcd']
Transcription:,"Not usually my job, but... Eheheh.",,Responses:,['PlayerCappedIntelligenceHeavy']
Your Line:,,,Rules:,['PlayerCappedIntelligenceHeavy']
,,,Criteria:,"[['ConceptPlayerCapturedIntelligence', 'IsHeavy']]"

Filename:,heavy_autodejectedtie01,,Events:,['heavy.autodejectedtie01']
Full Path:,vo/heavy_autodejectedtie01.mp3,,Scenes:,['scenes/player/heavy/low/199.vcd']
Transcription:,"We lose, but they do not win?",,Responses:,['PlayerStalemateHeavy']
Your Line:,,,Rules:,['PlayerStalemateHeavy']
,,,Criteria:,"[['ConceptPlayerStalemate', 'IsHeavy']]"

Filename:,heavy_autodejectedtie02,,Events:,['heavy.autodejectedtie02']
Full Path:,vo/heavy_autodejectedtie02.mp3,,Scenes:,['scenes/player/heavy/low/200.vcd']
