Filename:,1000health,,Events:,[]
Full Path:,sound/1000health.wav,,Scenes:,[]
Transcription:,,,Responses:,[]
Your Line:,,,Rules:,[]
,,,Criteria:,[]

Filename:,1health,,Events:,[]
Full Path:,sound/1health.wav,,Scenes:,[]
Transcription:,,,Responses:,[]
Your Line:,,,Rules:,[]
,,,Criteria:,[]

Filename:,alien_beacon,,Events:,[]
Full Path:,sound/ambience/alien_beacon.wav,,Scenes:,[]
Transcription:,,,Responses:,[]
Your Line:,,,Rules:,[]
,,,Criteria:,[]

Filename:,waterlap_loop,,Events:,[]
Full Path:,sound/ambient/ambience/waterlap_loop.wav,,Scenes:,[]
Transcription:,,,Responses:,[]
Your Line:,,,Rules:,[]
,,,Criteria:,[]

Filename:,rodent_scratch_short_3,,Events:,[]
Full Path:,sound/ambient/animal/rodent_scratch_short_3.wav,,Scenes:,[]
Transcription:,,,Responses:,[]
Your Line:,,,Rules:,[]
,,,Criteria:,[]

Filename:,ambience_canals_water_bridge_01,,Events:,[]
Full Path:,sound/ambient/canals/ambience_canals_water_bridge_01.wav,,Scenes:,[]
Transcription:,,,Responses:,[]
Your Line:,,,Rules:,[]
,,,Criteria:,[]

Filename:,ambience_canals_water_bridge_02,,Events:,[]
Full Path:,sound/ambient/canals/ambience_canals_water_bridge_02.wav,,Scenes:,[]
Transcription:,,,Responses:,[]
Your Line:,,,Rules:,[]
,,,Criteria:,[]

Filename:,ambience_canals_water_bridge_03,,Events:,[]
Full Path:,sound/ambient/canals/ambience_canals_water_bridge_03.wav,,Scenes:,[]
Transcription:,,,Responses:,[]
Your Line:,,,Rules:,[]
,,,Criteria:,[]

Filename:,ambience_canals_water_bridge_04,,Events:,[]
Full Path:,sound/ambient/canals/ambience_canals_water_bridge_04.wav,,Scenes:,[]
Transcription:,,,Responses:,[]
Your Line:,,,Rules:,[]
,,,Criteria:,[]

Filename:,ambience_canals_water_bridge_05,,Events:,[]
Full Path:,sound/ambient/canals/ambience_canals_water_bridge_05.wav,,Scenes:,[]
Transcription:,,,Responses:,[]
Your Line:,,,Rules:,[]
,,,Criteria:,[]

Filename:,flies1,,Events:,[]
Full Path:,sound/ambient/creatures/flies1.wav,,Scenes:,[]
Transcription:,,,Responses:,[]
Your Line:,,,Rules:,[]
,,,Criteria:,[]

Filename:,flies2,,Events:,[]
Full Path:,sound/ambient/creatures/flies2.wav,,Scenes:,[]
Transcription:,,,Responses:,[]
Your Line:,,,Rules:,[]
,,,Criteria:,[]

Filename:,flies3,,Events:,[]
Full Path:,sound/ambient/creatures/flies3.wav,,Scenes:,[]
Transcription:,,,Responses:,[]
Your Line:,,,Rules:,[]
,,,Criteria:,[]

Filename:,flies4,,Events:,[]
Full Path:,sound/ambient/creatures/flies4.wav,,Scenes:,[]
Transcription:,,,Responses:,[]
Your Line:,,,Rules:,[]
,,,Criteria:,[]

Filename:,flies5,,Events:,[]
Full Path:,sound/ambient/creatures/flies5.wav,,Scenes:,[]
Transcription:,,,Responses:,[]
Your Line:,,,Rules:,[]
,,,Criteria:,[]

Filename:,pigeon_idle1,,Events:,[]
Full Path:,sound/ambient/creatures/pigeon_idle1.wav,,Scenes:,[]
Transcription:,,,Responses:,[]
Your Line:,,,Rules:,[]
,,,Criteria:,[]

Filename:,pigeon_idle2,,Events:,[]
Full Path:,sound/ambient/creatures/pigeon_idle2.wav,,Scenes:,[]
Transcription:,,,Responses:,[]
Your Line:,,,Rules:,[]
,,,Criteria:,[]

Filename:,pigeon_idle3,,Events:,[]
Full Path:,sound/ambient/creatures/pigeon_idle3.wav,,Scenes:,[]
Transcription:,,,Responses:,[]
Your Line:,,,Rules:,[]
,,,Criteria:,[]

Filename:,pigeon_idle4,,Events:,[]
Full Path:,sound/ambient/creatures/pigeon_idle4.wav,,Scenes:,[]
Transcription:,,,Responses:,[]
Your Line:,,,Rules:,[]
,,,Criteria:,[]

Filename:,rats1,,Events:,[]
