Filename:,medic1,,Events:,['tfplayer.saveme']
Full Path:,vo/medic1.mp3,,Scenes:,[]
Transcription:,,,Responses:,[]
Your Line:,,,Rules:,[]
,,,Criteria:,[]

Filename:,medic2,,Events:,['tfplayer.saveme']
Full Path:,vo/medic2.mp3,,Scenes:,[]
Transcription:,,,Responses:,[]
Your Line:,,,Rules:,[]
,,,Criteria:,[]

Filename:,medic_activatecharge01,,Events:,['medic.activatecharge01']
Full Path:,vo/medic_activatecharge01.mp3,,Scenes:,['scenes/player/medic/low/519.vcd']
Transcription:,"Charge me, Herr Doktor.",,Responses:,['PlayerActivateChargeMedic']
Your Line:,,,Rules:,['PlayerActivateChargeMedic']
,,,Criteria:,"[['ConceptPlayerActivateCharge', 'IsMedic']]"

Filename:,medic_activatecharge02,,Events:,['medic.activatecharge02']
Full Path:,vo/medic_activatecharge02.mp3,,Scenes:,['scenes/player/medic/low/520.vcd']
Transcription:,"Ready for ze charge, Herr Doktor.",,Responses:,['PlayerActivateChargeMedic']
Your Line:,,,Rules:,['PlayerActivateChargeMedic']
,,,Criteria:,"[['ConceptPlayerActivateCharge', 'IsMedic']]"

Filename:,medic_activatecharge03,,Events:,['medic.activatecharge03']
Full Path:,vo/medic_activatecharge03.mp3,,Scenes:,['scenes/player/medic/low/521.vcd']
Transcription:,"Now is ze time, Herr Doktor.",,Responses:,['PlayerActivateChargeMedic']
Your Line:,,,Rules:,['PlayerActivateChargeMedic']
,,,Criteria:,"[['ConceptPlayerActivateCharge', 'IsMedic']]"

Filename:,medic_autocappedcontrolpoint01,,Events:,['medic.autocappedcontrolpoint01']
Full Path:,vo/medic_autocappedcontrolpoint01.mp3,,Scenes:,"['scenes/player/medic/low/522.vcd', 'scenes/player/medic/low/taunt01_vocal01.vcd']"
Transcription:,Anuhza successful procedure!,,Responses:,"['PlayerCapturedPointMedic', 'MedicTauntPrimary']"
Your Line:,,,Rules:,"['MedicTauntPlayerPrimary', 'MedicTauntBust', 'PlayerCapturedPointMedic', 'MedicTauntHealArrow']"
,,,Criteria:,"[['ConceptPlayerTaunt', 'IsMedic', 'WeaponIsSyringe'], ['ConceptPlayerTaunt', 'IsMedic', 'WeaponIsHippocrates'], ['ConceptPlayerTaunt', 'IsMedic', 'WeaponIsHealArrow'], ['ConceptPlayerCapturedPoint', 'IsMedic']]"

Filename:,medic_autocappedcontrolpoint02,,Events:,['medic.autocappedcontrolpoint02']
Full Path:,vo/medic_autocappedcontrolpoint02.mp3,,Scenes:,['scenes/player/medic/low/523.vcd']
Transcription:,Zey are veakened!,,Responses:,['PlayerCapturedPointMedic']
Your Line:,,,Rules:,['PlayerCapturedPointMedic']
,,,Criteria:,"[['ConceptPlayerCapturedPoint', 'IsMedic']]"

Filename:,medic_autocappedcontrolpoint03,,Events:,['medic.autocappedcontrolpoint03']
Full Path:,vo/medic_autocappedcontrolpoint03.mp3,,Scenes:,['scenes/player/medic/low/524.vcd']
Transcription:,I am prepared to do vatever it takes!,,Responses:,"['PlayerCapturedPointMedic', 'MeleeDareMedic']"
Your Line:,,,Rules:,"['PlayerCapturedPointMedic', 'MeleeDareMedic']"
,,,Criteria:,"[['ConceptPlayerCapturedPoint', 'IsMedic'], ['ConceptRequestDuel', 'IsMedic']]"

Filename:,medic_autocappedintelligence01,,Events:,['medic.autocappedintelligence01']
Full Path:,vo/medic_autocappedintelligence01.mp3,,Scenes:,['scenes/player/medic/low/525.vcd']
Transcription:,How embarrassing. Zey let a man of science escape with ze papers!,,Responses:,['PlayerCappedIntelligenceMedic']
Your Line:,,,Rules:,['PlayerCappedIntelligenceMedic']
,,,Criteria:,"[['ConceptPlayerCapturedIntelligence', 'IsMedic']]"

Filename:,medic_autocappedintelligence02,,Events:,['medic.autocappedintelligence02']
Full Path:,vo/medic_autocappedintelligence02.mp3,,Scenes:,['scenes/player/medic/low/526.vcd']
Transcription:,"Papers, please.",,Responses:,['PlayerCappedIntelligenceMedic']
Your Line:,,,Rules:,['PlayerCappedIntelligenceMedic']
,,,Criteria:,"[['ConceptPlayerCapturedIntelligence', 'IsMedic']]"

Filename:,medic_autocappedintelligence03,,Events:,['medic.autocappedintelligence03']
Full Path:,vo/medic_autocappedintelligence03.mp3,,Scenes:,['scenes/player/medic/low/527.vcd']
Transcription:,"Vere are your precious papers now, Dummkopfs?",,Responses:,['PlayerCappedIntelligenceMedic']
Your Line:,,,Rules:,['PlayerCappedIntelligenceMedic']
,,,Criteria:,"[['ConceptPlayerCapturedIntelligence', 'IsMedic']]"

Filename:,medic_autochargeready01,,Events:,['medic.autochargeready01']
Full Path:,vo/medic_autochargeready01.mp3,,Scenes:,['scenes/player/medic/low/528.vcd']
Transcription:,Ready to charge!,,Responses:,"['MedicChargeReady', 'PlayerChargeReadyMedic']"
Your Line:,,,Rules:,"['MedicChargeReady', 'PlayerChargeReadyMedic']"
,,,Criteria:,"[['ConceptMedicChargeReady', 'IsMedic'], ['ConceptPlayerChargeReady', 'IsMedic']]"

Filename:,medic_autochargeready02,,Events:,['medic.autochargeready02']
Full Path:,vo/medic_autochargeready02.mp3,,Scenes:,['scenes/player/medic/low/529.vcd']
Transcription:,I am fully charged!,,Responses:,"['MedicChargeReady', 'PlayerChargeReadyMedic']"
