Filename:,sniper_activatecharge01,,Events:,['sniper.activatecharge01']
Full Path:,vo/sniper_activatecharge01.mp3,,Scenes:,['scenes/player/sniper/low/1597.vcd']
Transcription:,"Hit that charge, Doctor!",,Responses:,['PlayerActivateChargeSniper']
Your Line:,,,Rules:,['PlayerActivateChargeSniper']
,,,Criteria:,"[['ConceptPlayerActivateCharge', 'IsSniper']]"

Filename:,sniper_activatecharge02,,Events:,['sniper.activatecharge02']
Full Path:,vo/sniper_activatecharge02.mp3,,Scenes:,['scenes/player/sniper/low/1599.vcd']
Transcription:,"Charge me, Doctor!",,Responses:,['PlayerActivateChargeSniper']
Your Line:,,,Rules:,['PlayerActivateChargeSniper']
,,,Criteria:,"[['ConceptPlayerActivateCharge', 'IsSniper']]"

Filename:,sniper_activatecharge03,,Events:,['sniper.activatecharge03']
Full Path:,vo/sniper_activatecharge03.mp3,,Scenes:,['scenes/player/sniper/low/1598.vcd']
Transcription:,"Now, Doctor, now!",,Responses:,['PlayerActivateChargeSniper']
Your Line:,,,Rules:,['PlayerActivateChargeSniper']
,,,Criteria:,"[['ConceptPlayerActivateCharge', 'IsSniper']]"

Filename:,sniper_activatecharge04,,Events:,['sniper.activatecharge04']
Full Path:,vo/sniper_activatecharge04.mp3,,Scenes:,['scenes/player/sniper/low/1770.vcd']
Transcription:,"(Quietly) ""Now, Doctor, now...""",,Responses:,['PlayerActivateChargeSniper']
Your Line:,,,Rules:,['PlayerActivateChargeSniper']
,,,Criteria:,"[['ConceptPlayerActivateCharge', 'IsSniper']]"

Filename:,sniper_autocappedcontrolpoint01,,Events:,['sniper.autocappedcontrolpoint01']
Full Path:,vo/sniper_autocappedcontrolpoint01.mp3,,Scenes:,['scenes/player/sniper/low/1600.vcd']
Transcription:,This one's ours now.,,Responses:,['PlayerCapturedPointSniper']
Your Line:,,,Rules:,['PlayerCapturedPointSniper']
,,,Criteria:,"[['ConceptPlayerCapturedPoint', 'IsSniper']]"

Filename:,sniper_autocappedcontrolpoint02,,Events:,['sniper.autocappedcontrolpoint02']
Full Path:,vo/sniper_autocappedcontrolpoint02.mp3,,Scenes:,['scenes/player/sniper/low/1601.vcd']
Transcription:,"That was too easy, mate.",,Responses:,['PlayerCapturedPointSniper']
Your Line:,,,Rules:,['PlayerCapturedPointSniper']
,,,Criteria:,"[['ConceptPlayerCapturedPoint', 'IsSniper']]"

Filename:,sniper_autocappedcontrolpoint03,,Events:,['sniper.autocappedcontrolpoint03']
Full Path:,vo/sniper_autocappedcontrolpoint03.mp3,,Scenes:,['scenes/player/sniper/low/1602.vcd']
Transcription:,We're not givin' it back.,,Responses:,['PlayerCapturedPointSniper']
Your Line:,,,Rules:,['PlayerCapturedPointSniper']
,,,Criteria:,"[['ConceptPlayerCapturedPoint', 'IsSniper']]"

Filename:,sniper_autocappedintelligence01,,Events:,['sniper.autocappedintelligence01']
Full Path:,vo/sniper_autocappedintelligence01.mp3,,Scenes:,['scenes/player/sniper/low/1603.vcd']
Transcription:,Simple. Simple. One for me.,,Responses:,['PlayerCappedIntelligenceSniper']
Your Line:,,,Rules:,['PlayerCappedIntelligenceSniper']
,,,Criteria:,"[['ConceptPlayerCapturedIntelligence', 'IsSniper']]"

Filename:,sniper_autocappedintelligence02,,Events:,['sniper.autocappedintelligence02']
Full Path:,vo/sniper_autocappedintelligence02.mp3,,Scenes:,['scenes/player/sniper/low/1604.vcd']
Transcription:,That was too easy mate!,,Responses:,['PlayerCappedIntelligenceSniper']
Your Line:,,,Rules:,['PlayerCappedIntelligenceSniper']
,,,Criteria:,"[['ConceptPlayerCapturedIntelligence', 'IsSniper']]"

Filename:,sniper_autocappedintelligence03,,Events:,['sniper.autocappedintelligence03']
Full Path:,vo/sniper_autocappedintelligence03.mp3,,Scenes:,['scenes/player/sniper/low/1605.vcd']
Transcription:,No worries.,,Responses:,['PlayerCappedIntelligenceSniper']
Your Line:,,,Rules:,['PlayerCappedIntelligenceSniper']
,,,Criteria:,"[['ConceptPlayerCapturedIntelligence', 'IsSniper']]"

Filename:,sniper_autocappedintelligence04,,Events:,['sniper.autocappedintelligence04']
Full Path:,vo/sniper_autocappedintelligence04.mp3,,Scenes:,['scenes/player/sniper/low/1771.vcd']
