Filename:,soldier_activatecharge01,,Events:,['soldier.activatecharge01']
Full Path:,sound/vo/soldier_activatecharge01.mp3,,Scenes:,['scenes/player/soldier/low/1040.vcd']
Transcription:,"Hit it, Doc!",,Responses:,['PlayerActivateChargeSoldier']
Your Line:,,,Rules:,['PlayerActivateChargeSoldier']
,,,Criteria:,"[['ConceptPlayerActivateCharge', 'IsSoldier']]"

Filename:,soldier_activatecharge02,,Events:,['soldier.activatecharge02']
Full Path:,sound/vo/soldier_activatecharge02.mp3,,Scenes:,['scenes/player/soldier/low/1041.vcd']
Transcription:,"Let's go, Doc!",,Responses:,['PlayerActivateChargeSoldier']
Your Line:,,,Rules:,['PlayerActivateChargeSoldier']
,,,Criteria:,"[['ConceptPlayerActivateCharge', 'IsSoldier']]"

Filename:,soldier_activatecharge03,,Events:,['soldier.activatecharge03']
Full Path:,sound/vo/soldier_activatecharge03.mp3,,Scenes:,['scenes/player/soldier/low/1042.vcd']
Transcription:,"Ready for that charge, Doc!",,Responses:,['PlayerActivateChargeSoldier']
Your Line:,,,Rules:,['PlayerActivateChargeSoldier']
,,,Criteria:,"[['ConceptPlayerActivateCharge', 'IsSoldier']]"

Filename:,soldier_autocappedcontrolpoint01,,Events:,"['soldier.autocappedcontrolpoint01', 'soldier.statue']"
Full Path:,sound/vo/soldier_autocappedcontrolpoint01.mp3,,Scenes:,['scenes/player/soldier/low/1043.vcd']
Transcription:,Now that is what I wanna see!,,Responses:,"['AwardSoldier', 'PlayerCapturedPointSoldier']"
Your Line:,,,Rules:,"['AwardSoldier', 'PlayerCapturedPointSoldier']"
,,,Criteria:,"[['ConceptAchievementAward', 'IsSoldier', 'SoldierNotAwardSpeech', 'AppliesContext:SoldierAwardSpeech:1:10', 'AppliesContext:IsDominating:1:10'], ['ConceptPlayerCapturedPoint', 'IsSoldier']]"

Filename:,soldier_autocappedcontrolpoint02,,Events:,['soldier.autocappedcontrolpoint02']
Full Path:,sound/vo/soldier_autocappedcontrolpoint02.mp3,,Scenes:,['scenes/player/soldier/low/1044.vcd']
Transcription:,This point is mine! Do you understand that?,,Responses:,['PlayerCapturedPointSoldier']
Your Line:,,,Rules:,['PlayerCapturedPointSoldier']
,,,Criteria:,"[['ConceptPlayerCapturedPoint', 'IsSoldier']]"

Filename:,soldier_autocappedcontrolpoint03,,Events:,['soldier.autocappedcontrolpoint03']
Full Path:,sound/vo/soldier_autocappedcontrolpoint03.mp3,,Scenes:,['scenes/player/soldier/low/1045.vcd']
Transcription:,We have commandeered my point!,,Responses:,['PlayerCapturedPointSoldier']
Your Line:,,,Rules:,['PlayerCapturedPointSoldier']
,,,Criteria:,"[['ConceptPlayerCapturedPoint', 'IsSoldier']]"

Filename:,soldier_autocappedintelligence01,,Events:,['soldier.autocappedintelligence01']
Full Path:,sound/vo/soldier_autocappedintelligence01.mp3,,Scenes:,['scenes/player/soldier/low/1046.vcd']
Transcription:,This is my intelligence.,,Responses:,['PlayerCappedIntelligenceSoldier']
Your Line:,,,Rules:,['PlayerCappedIntelligenceSoldier']
,,,Criteria:,"[['ConceptPlayerCapturedIntelligence', 'IsSoldier']]"

Filename:,soldier_autocappedintelligence02,,Events:,"['soldier.autocappedintelligence02', 'soldier.statue', 'taunt_soldier_aerobic_shared_dance_b']"
Full Path:,sound/vo/soldier_autocappedintelligence02.mp3,,Scenes:,"['scenes/player/soldier/low/1048.vcd', 'scenes/player/soldier/low/taunt_aerobic_a.vcd']"
Transcription:,"And that is how you do it, men!",,Responses:,"['AwardSoldier', 'PlayerCappedIntelligenceSoldier', 'Taunt: Mannrobics']"
Your Line:,,,Rules:,"['AwardSoldier', 'PlayerCappedIntelligenceSoldier']"
,,,Criteria:,"[['ConceptAchievementAward', 'IsSoldier', 'SoldierNotAwardSpeech', 'AppliesContext:SoldierAwardSpeech:1:10', 'AppliesContext:IsDominating:1:10'], ['ConceptPlayerCapturedIntelligence', 'IsSoldier']]"

Filename:,soldier_autocappedintelligence03,,Events:,['soldier.autocappedintelligence03']
Full Path:,sound/vo/soldier_autocappedintelligence03.mp3,,Scenes:,['scenes/player/soldier/low/1047.vcd']
Transcription:,I have rescued my intelligence.,,Responses:,['PlayerCappedIntelligenceSoldier']
Your Line:,,,Rules:,['PlayerCappedIntelligenceSoldier']
,,,Criteria:,"[['ConceptPlayerCapturedIntelligence', 'IsSoldier']]"

Filename:,soldier_autodejectedtie01,,Events:,['soldier.autodejectedtie01']
Full Path:,sound/vo/soldier_autodejectedtie01.mp3,,Scenes:,['scenes/player/soldier/low/1049.vcd']
Transcription:,"We failed, men.",,Responses:,['PlayerStalemateSoldier']
Your Line:,,,Rules:,['PlayerStalemateSoldier']
,,,Criteria:,"[['ConceptPlayerStalemate', 'IsSoldier']]"

Filename:,soldier_autodejectedtie02,,Events:,['soldier.autodejectedtie02']
Full Path:,sound/vo/soldier_autodejectedtie02.mp3,,Scenes:,['scenes/player/soldier/low/1050.vcd']
Transcription:,I will not tolerate failure on my team.,,Responses:,['PlayerStalemateSoldier']
Your Line:,,,Rules:,['PlayerStalemateSoldier']
,,,Criteria:,"[['ConceptPlayerStalemate', 'IsSoldier']]"

Filename:,soldier_autodejectedtie03,,Events:,['soldier.autodejectedtie03']
Full Path:,sound/vo/soldier_autodejectedtie03.mp3,,Scenes:,['scenes/player/soldier/low/1051.vcd']
Transcription:,(Grumble),,Responses:,"['PlayerStalemateSoldier', 'SoldierJarateHit']"
Your Line:,,,Rules:,"['PlayerStalemateSoldier', 'SoldierJarateHit']"
,,,Criteria:,"[['ConceptJarateHit', 'IsSoldier', '50PercentChance'], ['ConceptPlayerStalemate', 'IsSoldier']]"

Filename:,soldier_autoonfire01,,Events:,['soldier.autoonfire01']
Full Path:,sound/vo/soldier_autoonfire01.mp3,,Scenes:,['scenes/player/soldier/low/1052.vcd']
Transcription:,"Fire, fire, fire!",,Responses:,['PlayerOnFireSoldier']
Your Line:,,,Rules:,['PlayerOnFireSoldier']
,,,Criteria:,"[['ConceptFire', 'IsSoldier', 'SoldierIsNotStillonFire', 'IsNotDominating', 'AppliesContext:SoldierOnFire:1:7']]"

Filename:,soldier_autoonfire02,,Events:,"['soldier.autoonfire02', 'taunt_soldier_aerobic_shared_dance_a']"
