Filename:,spy_activatecharge01,,Events:,['spy.activatecharge01']
Full Path:,vo/spy_activatecharge01.mp3,,Scenes:,['scenes/player/spy/low/692.vcd']
Transcription:,"Activate the charge, Doctor.",,Responses:,['PlayerActivateChargeSpy']
Your Line:,,,Rules:,['PlayerActivateChargeSpy']
,,,Criteria:,"[['ConceptPlayerActivateCharge', 'IsSpy']]"

Filename:,spy_activatecharge02,,Events:,['spy.activatecharge02']
Full Path:,vo/spy_activatecharge02.mp3,,Scenes:,['scenes/player/spy/low/693.vcd']
Transcription:,"At your pleasure, Doctor.",,Responses:,['PlayerActivateChargeSpy']
Your Line:,,,Rules:,['PlayerActivateChargeSpy']
,,,Criteria:,"[['ConceptPlayerActivateCharge', 'IsSpy']]"

Filename:,spy_activatecharge03,,Events:,['spy.activatecharge03']
Full Path:,vo/spy_activatecharge03.mp3,,Scenes:,['scenes/player/spy/low/694.vcd']
Transcription:,"Doctor, if you please.",,Responses:,['PlayerActivateChargeSpy']
Your Line:,,,Rules:,['PlayerActivateChargeSpy']
,,,Criteria:,"[['ConceptPlayerActivateCharge', 'IsSpy']]"

Filename:,spy_autocappedcontrolpoint01,,Events:,['spy.autocappedcontrolpoint01']
Full Path:,vo/spy_autocappedcontrolpoint01.mp3,,Scenes:,['scenes/player/spy/low/695.vcd']
Transcription:,"Well done, us!",,Responses:,['PlayerCapturedPointSpy']
Your Line:,,,Rules:,['PlayerCapturedPointSpy']
,,,Criteria:,"[['ConceptPlayerCapturedPoint', 'IsSpy']]"

Filename:,spy_autocappedcontrolpoint02,,Events:,['spy.autocappedcontrolpoint02']
Full Path:,vo/spy_autocappedcontrolpoint02.mp3,,Scenes:,['scenes/player/spy/low/696.vcd']
Transcription:,Our influence grows!,,Responses:,['PlayerCapturedPointSpy']
Your Line:,,,Rules:,['PlayerCapturedPointSpy']
,,,Criteria:,"[['ConceptPlayerCapturedPoint', 'IsSpy']]"

Filename:,spy_autocappedcontrolpoint03,,Events:,['spy.autocappedcontrolpoint03']
Full Path:,vo/spy_autocappedcontrolpoint03.mp3,,Scenes:,"['scenes/player/spy/low/697.vcd', 'scenes/workshop/player/spy/low/taunt_cheers.vcd']"
Transcription:,Excellent!,,Responses:,"['PlayerCapturedPointSpy', 'Taunt: Cheers!']"
Your Line:,,,Rules:,['PlayerCapturedPointSpy']
,,,Criteria:,"[['ConceptPlayerCapturedPoint', 'IsSpy']]"

Filename:,spy_autocappedintelligence01,,Events:,['spy.autocappedintelligence01']
Full Path:,vo/spy_autocappedintelligence01.mp3,,Scenes:,['scenes/player/spy/low/698.vcd']
Transcription:,Was there ever any doubt?,,Responses:,['PlayerCappedIntelligenceSpy']
Your Line:,,,Rules:,['PlayerCappedIntelligenceSpy']
,,,Criteria:,"[['ConceptPlayerCapturedIntelligence', 'IsSpy']]"

Filename:,spy_autocappedintelligence02,,Events:,['spy.autocappedintelligence02']
Full Path:,vo/spy_autocappedintelligence02.mp3,,Scenes:,['scenes/player/spy/low/699.vcd']
Transcription:,My pleasure.,,Responses:,['PlayerCappedIntelligenceSpy']
Your Line:,,,Rules:,['PlayerCappedIntelligenceSpy']
,,,Criteria:,"[['ConceptPlayerCapturedIntelligence', 'IsSpy']]"

Filename:,spy_autocappedintelligence03,,Events:,['spy.autocappedintelligence03']
Full Path:,vo/spy_autocappedintelligence03.mp3,,Scenes:,"['scenes/player/spy/low/700.vcd', 'scenes/player/spy/low/taunt04_v1.vcd', 'scenes/workshop/player/spy/low/taunt_cheers.vcd']"
Transcription:,Cheers!,,Responses:,"['PlayerCappedIntelligenceSpy', 'SpyTauntPDA', 'Taunt: Cheers!']"
Your Line:,,,Rules:,"['PlayerCappedIntelligenceSpy', 'SpyTauntPlayerPDA']"
,,,Criteria:,"[['ConceptPlayerCapturedIntelligence', 'IsSpy'], ['ConceptPlayerTaunt', 'IsSpy', 'WeaponIsSpyPDA']]"

Filename:,spy_autodejectedtie01,,Events:,"['spy.autodejectedtie01', 'taunt_burstchester_spy_02']"
Full Path:,vo/spy_autodejectedtie01.mp3,,Scenes:,"['scenes/player/spy/low/701.vcd', 'scenes/workshop/player/spy/low/taunt_burstchester.vcd']"
Transcription:,That was unfortunate.,,Responses:,"['PlayerStalemateSpy', 'Taunt: Burstchester']"
Your Line:,,,Rules:,['PlayerStalemateSpy']
,,,Criteria:,"[['ConceptPlayerStalemate', 'IsSpy']]"

Filename:,spy_autodejectedtie02,,Events:,['spy.autodejectedtie02']
Full Path:,vo/spy_autodejectedtie02.mp3,,Scenes:,['scenes/player/spy/low/702.vcd']
Transcription:,I must be dreaming!,,Responses:,['PlayerStalemateSpy']
Your Line:,,,Rules:,['PlayerStalemateSpy']
,,,Criteria:,"[['ConceptPlayerStalemate', 'IsSpy']]"

Filename:,spy_autodejectedtie03,,Events:,"['spy.autodejectedtie03', 'spy_taunt_tailore_terminal_a2_01']"
Full Path:,vo/spy_autodejectedtie03.mp3,,Scenes:,"['scenes/player/spy/low/703.vcd', 'scenes/workshop/player/spy/low/taunttailored_terminal_a2.vcd']"
Transcription:,Awwwwww...,,Responses:,"['PlayerStalemateSpy', 'RejectedDuelSpy', 'Taunt: Tailored Terminal']"
Your Line:,,,Rules:,"['PlayerStalemateSpy', 'RejectedDuelSpy']"
,,,Criteria:,"[['ConceptDuelRejected', 'IsSpy'], ['ConceptPlayerStalemate', 'IsSpy']]"

Filename:,spy_autoonfire01,,Events:,['spy.autoonfire01']
