Filename:,knife_open1,,Events:,['chest.step']
Full Path:,/weapons/knife_open1.wav,,Scenes:,[]
Transcription:,,,Responses:,[]
Your Line:,,,Rules:,[]
Missing?,,,Criteria:,[]

Filename:,knife_open2,,Events:,['chest.step']
Full Path:,/weapons/knife_open2.wav,,Scenes:,[]
Transcription:,,,Responses:,[]
Your Line:,,,Rules:,[]
Missing?,,,Criteria:,[]

Filename:,knife_open7,,Events:,['chest.step']
Full Path:,/weapons/knife_open7.wav,,Scenes:,[]
Transcription:,,,Responses:,[]
Your Line:,,,Rules:,[]
Missing?,,,Criteria:,[]

Filename:,knife_open8,,Events:,['chest.step']
Full Path:,/weapons/knife_open8.wav,,Scenes:,[]
Transcription:,,,Responses:,[]
Your Line:,,,Rules:,[]
Missing?,,,Criteria:,[]

Filename:,sword_hit01,,Events:,['sword.hit']
Full Path:,vo/sword_hit01.mp3,,Scenes:,[]
Transcription:,Head!,,Responses:,[]
Your Line:,,,Rules:,[]
,,,Criteria:,[]

Filename:,sword_hit02,,Events:,['sword.hit']
Full Path:,vo/sword_hit02.mp3,,Scenes:,[]
Transcription:,Head.,,Responses:,[]
Your Line:,,,Rules:,[]
,,,Criteria:,[]

Filename:,sword_hit03,,Events:,['sword.hit']
Full Path:,vo/sword_hit03.mp3,,Scenes:,[]
Transcription:,Head!,,Responses:,[]
Your Line:,,,Rules:,[]
,,,Criteria:,[]

Filename:,sword_hit04,,Events:,['sword.hit']
Full Path:,vo/sword_hit04.mp3,,Scenes:,[]
Transcription:,Head!,,Responses:,[]
Your Line:,,,Rules:,[]
,,,Criteria:,[]

Filename:,sword_hit05,,Events:,['sword.hit']
Full Path:,vo/sword_hit05.mp3,,Scenes:,[]
Transcription:,Head...,,Responses:,[]
Your Line:,,,Rules:,[]
,,,Criteria:,[]

Filename:,sword_hit06,,Events:,['sword.hit']
Full Path:,vo/sword_hit06.mp3,,Scenes:,[]
Transcription:,Head...,,Responses:,[]
Your Line:,,,Rules:,[]
,,,Criteria:,[]

Filename:,sword_hit07,,Events:,['sword.hit']
Full Path:,vo/sword_hit07.mp3,,Scenes:,[]
Transcription:,Head!,,Responses:,[]
Your Line:,,,Rules:,[]
,,,Criteria:,[]

Filename:,sword_hit08,,Events:,['sword.hit']
Full Path:,vo/sword_hit08.mp3,,Scenes:,[]
Transcription:,HEAD.,,Responses:,[]
Your Line:,,,Rules:,[]
,,,Criteria:,[]

Filename:,sword_hit09,,Events:,['sword.hit']
Full Path:,vo/sword_hit09.mp3,,Scenes:,[]
Transcription:,Head!,,Responses:,[]
Your Line:,,,Rules:,[]
,,,Criteria:,[]

Filename:,sword_hit10,,Events:,['sword.hit']
Full Path:,vo/sword_hit10.mp3,,Scenes:,[]
Transcription:,Head!,,Responses:,[]
Your Line:,,,Rules:,[]
,,,Criteria:,[]

Filename:,sword_idle01,,Events:,['sword.idle']
Full Path:,vo/sword_idle01.mp3,,Scenes:,[]
Transcription:,Heads heads heads...,,Responses:,[]
Your Line:,,,Rules:,[]
,,,Criteria:,[]

Filename:,sword_idle02,,Events:,['sword.idle']
Full Path:,vo/sword_idle02.mp3,,Scenes:,[]
Transcription:,Heaaaaaads...heads heads heads heads...,,Responses:,[]
Your Line:,,,Rules:,[]
,,,Criteria:,[]

Filename:,sword_idle03,,Events:,['sword.idle']
Full Path:,vo/sword_idle03.mp3,,Scenes:,[]
Transcription:,Heads...heads heads heads...,,Responses:,[]
Your Line:,,,Rules:,[]
,,,Criteria:,[]

Filename:,sword_idle04,,Events:,['sword.idle']
Full Path:,vo/sword_idle04.mp3,,Scenes:,[]
Transcription:,Heaaaaaaaaads...,,Responses:,[]
Your Line:,,,Rules:,[]
,,,Criteria:,[]

Filename:,sword_idle05,,Events:,['sword.idle']
Full Path:,vo/sword_idle05.mp3,,Scenes:,[]
Transcription:,Heads...heads heads heads...,,Responses:,[]
Your Line:,,,Rules:,[]
,,,Criteria:,[]

Filename:,sword_idle06,,Events:,['sword.idle']
Full Path:,vo/sword_idle06.mp3,,Scenes:,[]
Transcription:,Heads heads heads heads!,,Responses:,[]
Your Line:,,,Rules:,[]
,,,Criteria:,[]

Filename:,sword_idle07,,Events:,['sword.idle']
Full Path:,vo/sword_idle07.mp3,,Scenes:,[]
Transcription:,Heaaaads.,,Responses:,[]
Your Line:,,,Rules:,[]
,,,Criteria:,[]

Filename:,sword_idle08,,Events:,['sword.idle']
Full Path:,vo/sword_idle08.mp3,,Scenes:,[]
Transcription:,Heads heads heads heaaaaaads...,,Responses:,[]
Your Line:,,,Rules:,[]
,,,Criteria:,[]

Filename:,sword_idle09,,Events:,['sword.idle']
Full Path:,vo/sword_idle09.mp3,,Scenes:,[]
Transcription:,Heaaaaaaaaaaaads...,,Responses:,[]
Your Line:,,,Rules:,[]
,,,Criteria:,[]

Filename:,sword_idle10,,Events:,['sword.idle']
Full Path:,vo/sword_idle10.mp3,,Scenes:,[]
Transcription:,Heads. Heads. HEADS. Heaaaaaaaads...,,Responses:,[]
Your Line:,,,Rules:,[]
,,,Criteria:,[]

Filename:,sword_idle11,,Events:,['sword.idle']
Full Path:,vo/sword_idle11.mp3,,Scenes:,[]
Transcription:,Heads heads heads.,,Responses:,[]
Your Line:,,,Rules:,[]
,,,Criteria:,[]

Filename:,sword_idle12,,Events:,['sword.idle']
Full Path:,vo/sword_idle12.mp3,,Scenes:,[]
Transcription:,Heads heads heads...,,Responses:,[]
Your Line:,,,Rules:,[]
,,,Criteria:,[]

Filename:,sword_idle13,,Events:,['sword.idle']
Full Path:,vo/sword_idle13.mp3,,Scenes:,[]
Transcription:,Heads heads heads...,,Responses:,[]
Your Line:,,,Rules:,[]
,,,Criteria:,[]

Filename:,sword_idle14,,Events:,['sword.idle']
Full Path:,vo/sword_idle14.mp3,,Scenes:,[]
Transcription:,HEADS heads heads...,,Responses:,[]
Your Line:,,,Rules:,[]
,,,Criteria:,[]

Filename:,sword_idle15,,Events:,['sword.idle']
Full Path:,vo/sword_idle15.mp3,,Scenes:,[]
Transcription:,Heads heads heads heads heads heads...,,Responses:,[]
Your Line:,,,Rules:,[]
,,,Criteria:,[]

Filename:,3rd_degree_hit_01,,Events:,['weapon_3rd_degree.hitflesh']
Full Path:,weapons/3rd_degree_hit_01.wav,,Scenes:,[]
Transcription:,,,Responses:,[]
Your Line:,,,Rules:,[]
,,,Criteria:,[]

Filename:,3rd_degree_hit_02,,Events:,['weapon_3rd_degree.hitflesh']
Full Path:,weapons/3rd_degree_hit_02.wav,,Scenes:,[]
Transcription:,,,Responses:,[]
Your Line:,,,Rules:,[]
,,,Criteria:,[]

